Symbol,Shares,Order,Date
SINE_FAST_NOISE,200,SELL,2009-09-21
SINE_FAST_NOISE,200,SELL,2009-09-24
SINE_FAST_NOISE,200,BUY,2009-09-25
SINE_FAST_NOISE,200,BUY,2009-09-30
SINE_FAST_NOISE,200,SELL,2009-10-01
SINE_FAST_NOISE,200,BUY,2009-10-06
SINE_FAST_NOISE,200,SELL,2009-10-08
SINE_FAST_NOISE,200,BUY,2009-10-09
SINE_FAST_NOISE,200,SELL,2009-10-13
SINE_FAST_NOISE,200,BUY,2009-10-16
SINE_FAST_NOISE,200,SELL,2009-10-19
SINE_FAST_NOISE,200,SELL,2009-10-20
SINE_FAST_NOISE,200,BUY,2009-10-21
SINE_FAST_NOISE,200,BUY,2009-10-22
SINE_FAST_NOISE,200,SELL,2009-10-23
SINE_FAST_NOISE,200,SELL,2009-10-26
SINE_FAST_NOISE,200,BUY,2009-10-27
SINE_FAST_NOISE,200,SELL,2009-10-30
SINE_FAST_NOISE,200,BUY,2009-11-02
SINE_FAST_NOISE,200,SELL,2009-11-04
SINE_FAST_NOISE,200,BUY,2009-11-06
SINE_FAST_NOISE,200,SELL,2009-11-10
SINE_FAST_NOISE,200,BUY,2009-11-17
SINE_FAST_NOISE,200,SELL,2009-11-18
SINE_FAST_NOISE,200,BUY,2009-11-19
SINE_FAST_NOISE,200,SELL,2009-11-20
SINE_FAST_NOISE,200,BUY,2009-11-25
SINE_FAST_NOISE,200,BUY,2009-11-30
SINE_FAST_NOISE,200,SELL,2009-12-01
SINE_FAST_NOISE,200,SELL,2009-12-04
SINE_FAST_NOISE,200,BUY,2009-12-08
SINE_FAST_NOISE,200,BUY,2009-12-14
SINE_FAST_NOISE,200,SELL,2009-12-15
SINE_FAST_NOISE,200,BUY,2009-12-17
SINE_FAST_NOISE,200,SELL,2009-12-18
SINE_FAST_NOISE,200,SELL,2009-12-21
SINE_FAST_NOISE,200,BUY,2009-12-22
SINE_FAST_NOISE,200,SELL,2009-12-23
SINE_FAST_NOISE,200,BUY,2009-12-24
SINE_FAST_NOISE,200,SELL,2009-12-28
SINE_FAST_NOISE,200,BUY,2009-12-29
SINE_FAST_NOISE,200,SELL,2009-12-30
SINE_FAST_NOISE,200,BUY,2009-12-31
